model,best_params,cv_f1_score,test_accuracy,test_precision,test_recall,test_specificity,test_f1,test_roc_auc
log_reg,"{'solver': 'lbfgs', 'penalty': 'l2', 'class_weight': 'balanced', 'C': 100}",0.868552918632172,0.8791357433564759,0.9524585011856804,0.7981086904476897,0.9601627962652621,0.8684789829492907,0.9232039073144092
rf,"{'n_estimators': 50, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': None, 'class_weight': 'balanced'}",0.9485272899057092,0.9510055063442662,0.9889180140665957,0.9122336605219057,0.9897773521666268,0.9490292773439932,0.9777164117785594
lgb,"{'num_leaves': 40, 'n_estimators': 300, 'min_data_in_leaf': 30, 'max_depth': -1, 'learning_rate': 0.1, 'feature_fraction': 1.0, 'bagging_fraction': 0.8}",0.9482380522876147,0.9495211874551113,0.9912870561762475,0.9070146037826191,0.9920277711276035,0.9472802510345173,0.9770669782750128
mlp,"{'learning_rate': 'adaptive', 'hidden_layer_sizes': (128, 64), 'batch_size': 64, 'alpha': 0.001, 'activation': 'tanh'}",0.9389519018619669,0.941285611683026,0.988809037630274,0.8926741680632032,0.9898970553028489,0.9382855848714755,0.9683281352119859
knn,"{'weights': 'distance', 'n_neighbors': 7, 'metric': 'manhattan'}",0.9460127068065604,0.9494613358870002,0.9887789638115074,0.9092410821163515,0.9896815896576491,0.9473434771763533,0.9720492537854936
nb,{'var_smoothing': np.float64(1e-10)},0.636936051737553,0.7259516399329663,0.9434733577671272,0.48070385444098634,0.9711994254249461,0.6369028738184356,0.8850401588690165
