model,best_params,cv_f1_score,test_accuracy,test_precision,test_recall,test_specificity,test_f1,test_roc_auc
log_reg,"{'solver': 'lbfgs', 'penalty': 'l2', 'class_weight': 'balanced', 'C': 100}",0.8804444023736062,0.8872157050514724,0.9459332781913427,0.8213789801292793,0.9530524299736653,0.879267042542286,0.9295010385257251
rf,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 20, 'class_weight': 'balanced'}",0.955755770635092,0.9567153459420636,0.9948381406930898,0.9181948767057697,0.9952358151783577,0.9549812006673141,0.9814790008831724
lgb,"{'num_leaves': 40, 'n_estimators': 300, 'min_data_in_leaf': 30, 'max_depth': -1, 'learning_rate': 0.1, 'feature_fraction': 1.0, 'bagging_fraction': 0.8}",0.9570157486978955,0.95750538664113,0.9964152119700748,0.9183145798419918,0.9966961934402682,0.9557720579074577,0.981585223159373
mlp,"{'learning_rate': 'adaptive', 'hidden_layer_sizes': (64, 32), 'batch_size': 64, 'alpha': 0.001, 'activation': 'tanh'}",0.9472223024402106,0.9483002154656452,0.992219330757301,0.9036868565956429,0.9929135743356476,0.9458860085449738,0.9726964021255058
knn,"{'weights': 'distance', 'n_neighbors': 7, 'metric': 'manhattan'}",0.9479444770512419,0.9510773282259996,0.9895803559828504,0.911754847977017,0.990399808474982,0.9490748239985047,0.9731996143936987
nb,{'var_smoothing': np.float64(1e-10)},0.8434078492711862,0.862532918362461,0.9858820509529616,0.735599712712473,0.9894661240124492,0.8425468904244817,0.9081057662178548
