model,best_params,cv_f1_score,test_accuracy,test_precision,test_recall,test_specificity,test_f1,test_roc_auc
log_reg,"{'solver': 'saga', 'penalty': 'l2', 'class_weight': None, 'C': 1}",0.8677187559061946,0.8772444338041657,0.9522169608265174,0.7943500119703136,0.9601388556380177,0.866148926450434,0.9224586310603758
rf,"{'n_estimators': 50, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': None, 'class_weight': 'balanced'}",0.9464342161779774,0.9493775436916447,0.9884716475394905,0.9093607852525736,0.9893943021307158,0.9472673541404292,0.9767751049458632
lgb,"{'num_leaves': 40, 'n_estimators': 300, 'min_data_in_leaf': 30, 'max_depth': -1, 'learning_rate': 0.1, 'feature_fraction': 1.0, 'bagging_fraction': 0.8}",0.9456974470758693,0.943655733780225,0.9813001584292133,0.9045487191764424,0.9827627483840077,0.9413626001270664,0.9751031702331056
mlp,"{'learning_rate': 'adaptive', 'hidden_layer_sizes': (128, 64), 'batch_size': 64, 'alpha': 0.001, 'activation': 'tanh'}",0.9373986047752201,0.9409025616471152,0.9889812282611582,0.8917404836006704,0.99006463969356,0.9378469905454911,0.9680986032303283
knn,"{'weights': 'distance', 'n_neighbors': 7, 'metric': 'manhattan'}",0.9445294068368691,0.9481565717021786,0.9876774781815814,0.9076370600909743,0.9886760833133829,0.9459671885721415,0.9608480229266039
nb,{'var_smoothing': np.float64(1e-10)},0.6316274742963824,0.7166746468757481,0.9005177678452893,0.4871678237969835,0.9461814699545128,0.6322805164136902,0.8444187904062563
