model,best_params,cv_f1_macro,test_accuracy,test_precision_macro,test_recall_macro,test_f1_macro,test_f1_weighted
log_reg,"{'solver': 'lbfgs', 'penalty': 'l2', 'class_weight': None, 'C': 10}",0.7396534963903415,0.7706727316255686,0.7651110270326654,0.7313615350694638,0.7394306564198002,0.7653243357912709
rf,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 30, 'class_weight': None}",0.9374238128276553,0.9440507541297583,0.9535345220569639,0.9287478764384447,0.9388094431799087,0.9447248063601734
lgb,"{'num_leaves': 40, 'n_estimators': 300, 'min_data_in_leaf': 30, 'max_depth': -1, 'learning_rate': 0.1, 'feature_fraction': 1.0, 'bagging_fraction': 0.8}",0.9440328956358806,0.9500359109408667,0.9570202968968395,0.9349190968092513,0.9440811263378736,0.950780740889971
mlp,"{'learning_rate': 'adaptive', 'hidden_layer_sizes': (64, 32), 'batch_size': 64, 'alpha': 0.001, 'activation': 'tanh'}",0.9075900942472139,0.9135743356475939,0.9186262988323952,0.9013531769875716,0.908201629738772,0.9138234917879952
knn,"{'weights': 'distance', 'n_neighbors': 3, 'metric': 'manhattan'}",0.90305056226802,0.9249940148431889,0.9281508909155065,0.9083970729914087,0.9165835516830326,0.9253816500706711
nb,{'var_smoothing': np.float64(1e-10)},0.4797465432385986,0.48822121139573854,0.581652144002038,0.5429709464344368,0.4772042378115298,0.5108108012562307
