model,best_params,cv_f1_macro,test_accuracy,test_precision_macro,test_recall_macro,test_f1_macro,test_f1_weighted
log_reg,"{'solver': 'lbfgs', 'penalty': 'l2', 'class_weight': None, 'C': 10}",0.7788590624718714,0.8282280701754386,0.8111006273597907,0.7607818281473843,0.781156477006429,0.8252360845465473
rf,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 30, 'class_weight': None}",0.9546186707707975,0.9656491228070175,0.9795634597337904,0.9419089998575421,0.9596102286833432,0.9656254000682769
lgb,"{'num_leaves': 40, 'n_estimators': 300, 'min_data_in_leaf': 30, 'max_depth': -1, 'learning_rate': 0.1, 'feature_fraction': 1.0, 'bagging_fraction': 0.8}",0.9624915660166181,0.9708245614035088,0.9851875592205993,0.9480977494206991,0.965598318893669,0.9708287952916919
mlp,"{'learning_rate': 'adaptive', 'hidden_layer_sizes': (128, 64), 'batch_size': 64, 'alpha': 0.001, 'activation': 'tanh'}",0.923674879000321,0.9464385964912281,0.9477283223298026,0.9177265653346366,0.9319076782602426,0.9461950567948995
knn,"{'weights': 'distance', 'n_neighbors': 7, 'metric': 'manhattan'}",0.9219180938389012,0.9507017543859649,0.9525504908744272,0.910648737347385,0.929522083765382,0.95038231662482
nb,{'var_smoothing': np.float64(1e-06)},0.4793393447642564,0.510719298245614,0.5345701334685891,0.5974092837494857,0.47689742837079113,0.5498728931466127
