model,best_params,cv_f1_macro,test_accuracy,test_precision_macro,test_recall_macro,test_f1_macro,test_f1_weighted
log_reg,"{'solver': 'lbfgs', 'penalty': 'l2', 'class_weight': None, 'C': 10}",0.6449934007255091,0.6890351927220493,0.6847762501735054,0.6576830351097332,0.6597719044052973,0.677761175200478
rf,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 30, 'class_weight': None}",0.9087793409366504,0.9217620301651903,0.9293435643287348,0.9039866702742351,0.9141721588886288,0.9219096697714705
lgb,"{'num_leaves': 40, 'n_estimators': 300, 'min_data_in_leaf': 30, 'max_depth': -1, 'learning_rate': 0.1, 'feature_fraction': 1.0, 'bagging_fraction': 0.8}",0.9180149783439598,0.9281541776394542,0.9368285704160045,0.9114497149474435,0.9216187405235908,0.9284610778824813
mlp,"{'learning_rate': 'adaptive', 'hidden_layer_sizes': (128, 64), 'batch_size': 64, 'alpha': 0.001, 'activation': 'tanh'}",0.89259906981203,0.9030644002872875,0.9076097978709662,0.886738689431712,0.8951454844463397,0.9034513470395102
knn,"{'weights': 'distance', 'n_neighbors': 3, 'metric': 'manhattan'}",0.8993234800187517,0.9209480488388796,0.9247286484868168,0.9061626397675712,0.9137708721141815,0.9213454557831328
nb,{'var_smoothing': np.float64(1e-07)},0.4549279257754733,0.4691644721091693,0.5009009717866623,0.5293732364675531,0.44866521983526236,0.4754852295451325
