model,best_params,cv_f1_macro,test_accuracy,test_precision_macro,test_recall_macro,test_f1_macro,test_f1_weighted
log_reg,"{'solver': 'lbfgs', 'penalty': 'l2', 'class_weight': None, 'C': 10}",0.6587414118396194,0.689897055302849,0.687032928483169,0.6612415043609206,0.6633934638100273,0.6791719568794745
rf,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 30, 'class_weight': None}",0.9020368113884687,0.9176921235336366,0.9245548796381043,0.9002865031770408,0.910002402530064,0.9177874493309296
lgb,"{'num_leaves': 40, 'n_estimators': 300, 'min_data_in_leaf': 30, 'max_depth': -1, 'learning_rate': 0.1, 'feature_fraction': 1.0, 'bagging_fraction': 0.8}",0.9099764156800223,0.9210198707206129,0.9266070099470057,0.9048001370565115,0.9135888635083186,0.9212234894845089
mlp,"{'learning_rate': 'adaptive', 'hidden_layer_sizes': (128, 64), 'batch_size': 64, 'alpha': 0.001, 'activation': 'tanh'}",0.8871099711029108,0.8987072061288006,0.8937068544259353,0.8700252936010074,0.8779220350716683,0.898012552014547
knn,"{'weights': 'distance', 'n_neighbors': 3, 'metric': 'euclidean'}",0.8939376883870782,0.9160881015082595,0.9185522936002698,0.9017736776884088,0.9085667884566276,0.916503267106618
nb,{'var_smoothing': np.float64(1e-06)},0.47936256548860134,0.49202777112760354,0.5178449600440681,0.5210209575060257,0.4783876942657063,0.5083432964550323
