model,best_params,cv_f1_score,test_accuracy,test_precision,test_recall,test_specificity,test_f1,test_roc_auc
log_reg,"{'solver': 'lbfgs', 'penalty': 'l2', 'class_weight': 'balanced', 'C': 100}",0.8707487087882463,0.9020673059394028,0.9620948583064654,0.7957368421052632,0.9777001310288888,0.8710439391611615,0.9287559900562538
rf,"{'n_estimators': 50, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': None, 'class_weight': 'balanced'}",0.9613618934997982,0.9711743901994385,0.9972255028776035,0.9332456140350878,0.9981531166157109,0.9641753441541375,0.9888549906462669
lgb,"{'num_leaves': 40, 'n_estimators': 300, 'min_data_in_leaf': 30, 'max_depth': -1, 'learning_rate': 0.1, 'feature_fraction': 1.0, 'bagging_fraction': 0.8}",0.9567165740264931,0.9650198709301053,0.9948245464368993,0.9206315789473685,0.9965932488924939,0.9562911734958861,0.9855227030263625
mlp,"{'learning_rate': 'adaptive', 'hidden_layer_sizes': (64, 32), 'batch_size': 64, 'alpha': 0.001, 'activation': 'tanh'}",0.9439253800808626,0.9556422503372589,0.9926466319639298,0.8999473684210526,0.9952580021214201,0.9440267949980217,0.9775815714490569
knn,"{'weights': 'distance', 'n_neighbors': 3, 'metric': 'manhattan'}",0.9509209476654816,0.964407335836949,0.9893527125232381,0.9243157894736842,0.9929244400074874,0.9557290958069168,0.9646554403260289
nb,{'var_smoothing': np.float64(1e-07)},0.8612240320933794,0.8959784154300506,0.9726172834044812,0.7714561403508772,0.9845510700692581,0.8604357652307482,0.9085853854077384
